entry_num,timestamp,source_url,selected,selected_role,selected_rank,selected_region,selected_platform,selected_gamemode,hero_id,hero_name,pickrate,winrate,role,pull_datetime_utc,pull_date
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,widowmaker,Widowmaker,11.7,44.2,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,winston,Winston,2.9,49.7,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,wrecking-ball,Wrecking Ball,2.0,53.3,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,wuyang,Wuyang,52.9,54.4,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,zarya,Zarya,4.5,49.5,TANK,2026-05-16 15:18:25.728179+00:00,2026_05_16
0,2025-08-29 14:38:52.780749083,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Americas&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Americas', 'tier': 'All'}",All,,Americas,,,zenyatta,Zenyatta,10.1,53.0,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,ana,Ana,29.0,44.3,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,ashe,Ashe,13.3,50.0,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,baptiste,Baptiste,10.6,47.1,SUPPORT,2026-05-16 15:18:25.728179+00:00,2026_05_16
1,2025-08-29 14:38:53.028751612,https://overwatch.blizzard.com/en-us/rates/data/?map=all-maps&role=All&rq=0&input=Console&region=Asia&tier=All,"{'map': 'all-maps', 'role': 'All', 'rq': '0', 'input': 'Console', 'region': 'Asia', 'tier': 'All'}",All,,Asia,,,bastion,Bastion,8.9,48.9,DAMAGE,2026-05-16 15:18:25.728179+00:00,2026_05_16
